BASE EMOTION	EMOTION	 BODY AREA	PERSON					
happy	jubilant	Ressentez cette zone se détendre de plus en plus. Au fur et à mesure qu'elle se détend, sentez comment elle devient une source d'énergie pour le reste de votre corps.	Ils rendent la lumière blanche dans ton corps encore plus brillante. Tu ne peux pas entendre ce qu'ils disent, mais tu ne peux pas t'empêcher de sourire.					
happy	euphoric	Ressentez cette zone se détendre de plus en plus. Au fur et à mesure qu'elle se détend, sentez comment elle devient une source d'énergie pour le reste de votre corps.	Ils rendent la lumière blanche dans ton corps encore plus brillante. Tu ne peux pas entendre ce qu'ils disent, mais tu ne peux pas t'empêcher de sourire.					
happy	rapturous	Ressentez cette zone se détendre de plus en plus. Au fur et à mesure qu'elle se détend, sentez comment elle devient une source d'énergie pour le reste de votre corps.	Ils rendent la lumière blanche dans ton corps encore plus brillante. Tu ne peux pas entendre ce qu'ils disent, mais tu ne peux pas t'empêcher de sourire.					
interested	curious	Ressentez cette zone se détendre. Plus elle se détend, plus elle devient forte.	Fais attention à cette personne. Que rayonnent-ils ?					
interested	attentive	Ressentez cette zone se détendre. Plus elle se détend, plus elle devient forte.	Fais attention à cette personne. Que rayonnent-ils ?					
interested	observant	Ressentez cette zone se détendre. Plus elle se détend, plus elle devient forte.	Fais attention à cette personne. Que rayonnent-ils ?					
interested	interested	Ressentez cette zone se détendre. Plus elle se détend, plus elle devient forte.	Fais attention à cette personne. Que rayonnent-ils ?					
interested	thoughtful	Ressentez cette zone se détendre. Plus elle se détend, plus elle devient forte.	Fais attention à cette personne. Que rayonnent-ils ?					
interested	focused	Ressentez cette zone se détendre. Plus elle se détend, plus elle devient forte.	Fais attention à cette personne. Que rayonnent-ils ?					
interested	fascinated	Ressentez cette zone se fissurer, révélant un espace infini avec une lumière blanche étincelante.	Fais attention à cette personne. Que rayonnent-ils ?					
interested	intrigued	Ressentez cette zone se fissurer, révélant un espace infini avec une lumière blanche étincelante.	Fais attention à cette personne. Que rayonnent-ils ?					
interested	absorbed	Ressentez cette zone se fissurer, révélant un espace infini avec une lumière blanche étincelante.	Fais attention à cette personne. Que rayonnent-ils ?					
interested	amazed	Ressentez cette zone se fissurer, révélant un espace infini avec une lumière blanche étincelante.	Fais attention à cette personne. Que rayonnent-ils ?					
alive	playful	Ressentez comment cette zone est chatouillée.	Dis-leur une blague. Entends-les rire. Vois comment ils ne peuvent pas arrêter de rire.					
alive	optimistic	Ressentez comment l'énergie de cette zone se propage au reste de votre corps. Défait lentement les nœuds. Il devient plus facile de bouger.	Ils te font un pouce levé. Ressens comment leur soutien remplit ton corps.					
alive	alive	Ressentez une grande ouverture se remplir d'air en mouvement. Il est difficile d'inhaler avec cette plénitude. Un peu étourdi. Continuez à bouger, continuez à bouger.	Tu peux les sentir à côté de toi, respirant avec toi.					
alive	energetic	Ressentez comment cette zone est chatouillée.	Vois cette personne marcher vers toi d'un pas ferme. Attrapant tes épaules.					
alive	liberated	Ressentez comment l'énergie de cette zone se propage au reste de votre corps. Défait lentement les nœuds. Il devient plus facile de bouger.	Dis-leur une blague. Entends-les rire. Vois comment ils ne peuvent pas arrêter de rire.					
alive	frisky	Ressentez une grande ouverture se remplir d'air en mouvement. Il est difficile d'inhaler avec cette plénitude. Un peu étourdi. Continuez à bouger, continuez à bouger.	Ils te font un pouce levé. Ressens comment leur soutien remplit ton corps.					
alive	spirited	Ressentez comment cette zone est chatouillée.	Tu peux les sentir à côté de toi, respirant avec toi.					
alive	thrilled	Ressentez comment l'énergie de cette zone se propage au reste de votre corps. Défait lentement les nœuds. Il devient plus facile de bouger.	Vois cette personne marcher vers toi d'un pas ferme. Attrapant tes épaules.					
alive	wonderful	Ressentez une grande ouverture se remplir d'air en mouvement. Il est difficile d'inhaler avec cette plénitude. Un peu étourdi. Continuez à bouger, continuez à bouger.	Dis-leur une blague. Entends-les rire. Vois comment ils ne peuvent pas arrêter de rire.					
alive	excited	Une énorme quantité d'énergie se déplace autour de cette zone. Elle cherche des actions à entreprendre.	Ils te font un pouce levé. Ressens comment leur soutien remplit ton corps.					
alive	aroused	Une énorme quantité d'énergie se déplace autour de cette zone. Elle cherche des actions à entreprendre.	Vois cette personne marcher vers toi d'un pas ferme. Attrapant tes épaules.					
positive	keen	Imaginez un flux léger mais puissant faisant son chemin à travers cette zone et vers le reste de votre corps. Cela facilite la respiration. Cela ouvre des mondes intérieurs qui vont bien au-delà des limites de votre corps.	Vois-toi les défier. Avec des yeux brillants, ils te lancent un défi double. Vous retenez tous les deux votre souffle et sautez.					
positive	earnest	Imaginez un flux léger mais puissant faisant son chemin à travers cette zone et vers le reste de votre corps. Cela facilite la respiration. Cela ouvre des mondes intérieurs qui vont bien au-delà des limites de votre corps.	Vois-toi les défier. Avec des yeux brillants, ils te lancent un défi double. Vous retenez tous les deux votre souffle et sautez.					
positive	hopeful	Imaginez un flux léger mais puissant faisant son chemin à travers cette zone et vers le reste de votre corps. Cela facilite la respiration. Cela ouvre des mondes intérieurs qui vont bien au-delà des limites de votre corps.	Vois-toi les défier. Avec des yeux brillants, ils te lancent un défi double. Vous retenez tous les deux votre souffle et sautez.					
positive	positive	Imaginez un flux léger mais puissant faisant son chemin à travers cette zone et vers le reste de votre corps. Cela facilite la respiration. Cela ouvre des mondes intérieurs qui vont bien au-delà des limites de votre corps.	Vois-toi les défier. Avec des yeux brillants, ils te lancent un défi double. Vous retenez tous les deux votre souffle et sautez.					
positive	eager	Imaginez un flux léger mais puissant faisant son chemin à travers cette zone et vers le reste de votre corps. Cela facilite la respiration. Cela ouvre des mondes intérieurs qui vont bien au-delà des limites de votre corps.	Vois-toi les défier. Avec des yeux brillants, ils te lancent un défi double. Vous retenez tous les deux votre souffle et sautez.					
positive	inspired	Imaginez un flux léger mais puissant faisant son chemin à travers cette zone et vers le reste de votre corps. Cela facilite la respiration. Cela ouvre des mondes intérieurs qui vont bien au-delà des limites de votre corps.	Imagine cette personne te prenant par la main, te conduisant vers un endroit élevé à l'intérieur de l'espace. De là, tu peux voir au-delà des limites de l'espace. Ils ont l'air excités.					
positive	upbeat	Ressentez une grande ouverture se remplir d'air en mouvement. Il est difficile d'inhaler avec cette plénitude. Un peu étourdi. Continuez à bouger, continuez à bouger.	Imagine cette personne te prenant par la main, te conduisant vers un endroit élevé à l'intérieur de l'espace. De là, tu peux voir au-delà des limites de l'espace. Ils ont l'air excités.					
positive	motivated	Ressentez une grande ouverture se remplir d'air en mouvement. Il est difficile d'inhaler avec cette plénitude. Un peu étourdi. Continuez à bouger, continuez à bouger.	Imagine cette personne te prenant par la main, te conduisant vers un endroit élevé à l'intérieur de l'espace. De là, tu peux voir au-delà des limites de l'espace. Ils ont l'air excités.					
positive	brave	Ressentez une grande ouverture se remplir d'air en mouvement. Il est difficile d'inhaler avec cette plénitude. Un peu étourdi. Continuez à bouger, continuez à bouger.	Imagine cette personne te prenant par la main, te conduisant vers un endroit élevé à l'intérieur de l'espace. De là, tu peux voir au-delà des limites de l'espace. Ils ont l'air excités.					
positive	daring	Ressentez une grande ouverture se remplir d'air en mouvement. Il est difficile d'inhaler avec cette plénitude. Un peu étourdi. Continuez à bouger, continuez à bouger.	Vois-toi les défier. Avec des yeux brillants, ils te lancent un défi double. Vous retenez tous les deux votre souffle et sautez.					
positive	exuberant	Ressentez une grande ouverture se remplir d'air en mouvement. Il est difficile d'inhaler avec cette plénitude. Un peu étourdi. Continuez à bouger, continuez à bouger.	Imagine cette personne te prenant par la main, te conduisant vers un endroit élevé à l'intérieur de l'espace. De là, tu peux voir au-delà des limites de l'espace. Ils ont l'air excités.					
peaceful	good	Laissez cette zone se propager lentement à travers votre corps, organe par organe. Ressentez la tension se dissiper.	Imagine que cette personne te propose un verre.					
peaceful	quiet	Ressentez cette zone ramener sans effort toutes les pièces connues à la maison. Chaque pièce, qu'elle s'adapte ou non, est exactement là où elle est censée être.	Imagine que cette personne te propose un verre.					
peaceful	clear	Voyez les vestiges d'anciennes perspectives qui vous retenaient prisonnier dans cette zone. Vous vous déplacez librement à travers eux maintenant. Ils deviennent de plus en plus fragiles à mesure que vous vous déplacez.	Imagine que cette personne te propose un verre.					
peaceful	okay	Laissez cette zone se propager lentement à travers votre corps, organe par organe. Ressentez la tension se dissiper.	Imagine-les te faire un massage crânien.					
peaceful	fine	Ressentez cette zone ramener sans effort toutes les pièces connues à la maison. Chaque pièce, qu'elle s'adapte ou non, est exactement là où elle est censée être.	Imagine-les te faire un massage crânien.					
peaceful	peaceful	Voyez les vestiges d'anciennes perspectives qui vous retenaient prisonnier dans cette zone. Vous vous déplacez librement à travers eux maintenant. Ils deviennent de plus en plus fragiles à mesure que vous vous déplacez.	Imagine-les te faire un massage crânien.					
peaceful	calm	Laissez cette zone se propager lentement à travers votre corps, organe par organe. Ressentez la tension se dissiper.	Ressens à quel point il est normal de ne pas tout comprendre à propos de cette personne.					
peaceful	content	Ressentez cette zone ramener sans effort toutes les pièces connues à la maison. Chaque pièce, qu'elle s'adapte ou non, est exactement là où elle est censée être.	Ressens à quel point il est normal de ne pas tout comprendre à propos de cette personne.					
peaceful	certain	Voyez les vestiges d'anciennes perspectives qui vous retenaient prisonnier dans cette zone. Vous vous déplacez librement à travers eux maintenant. Ils deviennent de plus en plus fragiles à mesure que vous vous déplacez.	Ressens à quel point il est normal de ne pas tout comprendre à propos de cette personne.					
peaceful	carefree	Voyez les vestiges d'anciennes perspectives qui vous retenaient prisonnier dans cette zone. Vous vous déplacez librement à travers eux maintenant. Ils deviennent de plus en plus fragiles à mesure que vous vous déplacez.	Imagine que cette personne te propose un verre.					
peaceful	placid	Voyez les vestiges d'anciennes perspectives qui vous retenaient prisonnier dans cette zone. Vous vous déplacez librement à travers eux maintenant. Ils deviennent de plus en plus fragiles à mesure que vous vous déplacez.	Imagine-les te faire un massage crânien.					 
peaceful	relaxed	Laissez cette zone se propager lentement à travers votre corps, organe par organe. Ressentez la tension se dissiper.	Imagine-les te faire un massage crânien.					
peaceful	serene	Laissez cette zone se propager lentement à travers votre corps, organe par organe. Ressentez la tension se dissiper.	Ressens à quel point il est normal de ne pas tout comprendre à propos de cette personne.					
peaceful	radiant	Laissez cette zone se propager lentement à travers votre corps, organe par organe. Ressentez la tension se dissiper.	Imagine-les te faire un massage crânien.					
peaceful	reflective	Ressentez cette zone ramener sans effort toutes les pièces connues à la maison. Chaque pièce, qu'elle s'adapte ou non, est exactement là où elle est censée être.	Ressens à quel point il est normal de ne pas tout comprendre à propos de cette personne.					
peaceful	centered	Ressentez cette zone ramener sans effort toutes les pièces connues à la maison. Chaque pièce, qu'elle s'adapte ou non, est exactement là où elle est censée être.	Imagine-les te faire un massage crânien.					
strong	secure	Ressentez cette zone devenir de plus en plus claire. Et à mesure qu'elle le fait, elle s'ouvre de plus en plus.	Ils te regardent et tu peux dire qu'ils te voient vraiment. Jusqu'au bout.					
strong	composed	Laissez la clarté de cette zone s'étendre. Ressentez l'eau la traverser en ligne droite.	Amène leur visage au premier plan. Laisse tout le reste s'estomper.					
strong	sane	Respirez profondément en sentant l'énergie rayonner de votre noyau jusqu'à vos doigts et vos orteils.	Imaginez-vous vous soutenant mutuellement, regardant ensemble vers l'horizon.					
strong	sure	Ressentez cette zone devenir de plus en plus claire. Et à mesure qu'elle le fait, elle s'ouvre de plus en plus.	Imaginez-vous vous soutenant mutuellement, regardant ensemble vers l'horizon.					
strong	honest	Ressentez cette zone devenir de plus en plus claire. Et à mesure qu'elle le fait, elle s'ouvre de plus en plus.	Ils te regardent et tu peux dire qu'ils te voient vraiment. Jusqu'au bout.					
strong	dynamic	Laissez la clarté de cette zone s'étendre. Ressentez l'eau la traverser en ligne droite.	Ils te regardent et tu peux dire qu'ils te voient vraiment. Jusqu'au bout.					
strong	determined	Laissez la clarté de cette zone s'étendre. Ressentez l'eau la traverser en ligne droite.	Amène leur visage au premier plan. Laisse tout le reste s'estomper.					
strong	excellent	Respirez profondément en sentant l'énergie rayonner de votre noyau jusqu'à vos doigts et vos orteils.	Amène leur visage au premier plan. Laisse tout le reste s'estomper.					
strong	energized	Respirez profondément en sentant l'énergie rayonner de votre noyau jusqu'à vos doigts et vos orteils.	Imaginez-vous vous soutenant mutuellement, regardant ensemble vers l'horizon.					
